question,answer,explanation
"Using a YAML manifest file named 'pod-node-affinity.yaml', apply a nodeAffinity rule that requires nodes to have the label 'kubernetes.io/os=linux'. What kubectl command do you use to create this Pod?",kubectl apply -f pod-node-affinity.yaml,The command 'kubectl apply -f pod-node-affinity.yaml' creates or updates a Pod resource defined in the YAML file. The file is expected to contain the nodeAffinity rule requiring nodes to have label 'kubernetes.io/os=linux'. Using 'kubectl apply' allows declarative management of resources. The YAML manifest should include the affinity section under spec.affinity.nodeAffinity.requiredDuringSchedulingIgnoredDuringExecution with the appropriate matchExpressions.
"What is Pod Overhead in Kubernetes?

A) Additional resources requested by containers inside a Pod
B) Resources consumed by the Pod infrastructure in addition to container requests
C) Extra CPU and memory reserved for the kubelet process
D) Resources allocated only for system pods running on a node",B) Resources consumed by the Pod infrastructure in addition to container requests,"The correct answer is B) Resources consumed by the Pod infrastructure in addition to container requests. Pod Overhead accounts for the resources used by the Pod infrastructure itself (like pause containers or VM overhead in case of virtualization runtimes), which are in addition to the container resource requests and limits. Option A is incorrect because container resource requests only specify the resources required by containers, not the Pod infrastructure. Option C is wrong as kubelet resource usage is not considered Pod Overhead. Option D is incorrect since Pod Overhead applies to all Pods using a RuntimeClass that defines it, not only system pods."
"Which Kubernetes resource defines Pod overhead that affects scheduling and resource quota calculations?

A) Pod
B) RuntimeClass
C) ResourceQuota
D) LimitRange",B) RuntimeClass,The correct answer is B) RuntimeClass. The Pod's overhead is defined in the RuntimeClass resource under the overhead field. This overhead is applied at admission time and considered during scheduling and resource quota enforcement. Option A (Pod) is incorrect because the Pod itself does not define overhead—it references a RuntimeClass. Option C (ResourceQuota) enforces limits on resource consumption but does not define overhead. Option D (LimitRange) defines default limits and requests within a namespace but does not specify Pod overhead.
"What happens if the PodSpec already defines an overhead field when using a RuntimeClass with overhead?

A) The Pod overhead is merged with the RuntimeClass overhead
B) The Pod admission is rejected
C) The Pod overhead is ignored
D) The Pod overhead field is overwritten by the RuntimeClass overhead",B) The Pod admission is rejected,"The correct answer is B) The Pod admission is rejected. The RuntimeClass admission controller mutates the PodSpec to add the overhead field if it is not present. If the PodSpec already includes an overhead field, the admission controller rejects the Pod to avoid conflicting overhead definitions. Option A is incorrect because no merging occurs. Option C is wrong as the overhead field cannot be ignored—it must be consistent. Option D is incorrect since the controller does not overwrite existing overhead fields."
"Which of the following statements about Pod overhead and scheduling is correct?

A) Pod overhead is ignored by the kube-scheduler during scheduling decisions
B) Pod overhead is added to the sum of container requests and considered for scheduling
C) Pod overhead only affects resource quota calculations, not scheduling
D) Pod overhead is only used by kubelet, not the scheduler",B) Pod overhead is added to the sum of container requests and considered for scheduling,The correct answer is B) Pod overhead is added to the sum of container requests and considered for scheduling. The kube-scheduler sums container requests and the Pod overhead to find a node with sufficient resources. Option A is incorrect as overhead is explicitly included in scheduling decisions. Option C is wrong because overhead affects both resource quotas and scheduling. Option D is incorrect since overhead is used by both the scheduler and kubelet.
"Create a Pod named 'test-pod' using the 'kata-fc' RuntimeClass with two containers: busybox (image: busybox:1.28) with 500m CPU and 100Mi memory limits, and nginx (image: nginx) with 1500m CPU and 100Mi memory limits. The busybox container should have stdin and tty enabled.","kubectl run test-pod --image=busybox:1.28 --restart=Never --overrides='{""spec"":{""runtimeClassName"":""kata-fc"",""containers"":[{""name"":""busybox-ctr"",""image"":""busybox:1.28"",""stdin"":true,""tty"":true,""resources"":{""limits"":{""cpu"":""500m"",""memory"":""100Mi""}}},{""name"":""nginx-ctr"",""image"":""nginx"",""resources"":{""limits"":{""cpu"":""1500m"",""memory"":""100Mi""}}}]}}'","This command creates a Pod named 'test-pod' with the specified runtimeClassName 'kata-fc'. The '--overrides' flag is used to specify the Pod spec with two containers: 'busybox-ctr' with stdin and tty enabled and resource limits of 500m CPU and 100Mi memory, and 'nginx-ctr' with 1500m CPU and 100Mi memory limits. The '--restart=Never' flag ensures a Pod is created instead of a Deployment. The RuntimeClass ensures the Pod overhead is accounted for during scheduling and resource quota calculations."
How can you verify the Pod overhead that was applied to a running Pod named 'test-pod'?,kubectl get pod test-pod -o jsonpath='{.spec.overhead}',"This command retrieves the Pod resource named 'test-pod' and outputs the value of the 'spec.overhead' field, which shows the additional CPU and memory overhead applied by the RuntimeClass admission controller. Using '-o jsonpath' allows extraction of just the overhead details. This is the recommended way to verify the overhead set on a Pod after admission mutation. Other commands like 'kubectl describe pod' do not directly show overhead."
"Which statement best describes the purpose of the Pod's schedulingGates field in Kubernetes?

A) It specifies the nodes where a Pod can be scheduled.
B) It marks a Pod as ready for scheduling immediately after creation.
C) It contains criteria that must be satisfied before a Pod is considered schedulable.
D) It controls the restart policy of a Pod's containers.",C) It contains criteria that must be satisfied before a Pod is considered schedulable.,"The correct answer is C) It contains criteria that must be satisfied before a Pod is considered schedulable. The schedulingGates field holds a list of strings representing conditions that must be cleared before the Pod can be scheduled. Option A is incorrect because node selection is controlled by nodeSelector or affinity, not schedulingGates. Option B is wrong because schedulingGates actually delay scheduling until conditions are met. Option D is incorrect since restart policies are unrelated to schedulingGates."
"After a Pod is created with schedulingGates, which of the following operations is allowed?

A) Adding new scheduling gates to the Pod's spec.
B) Removing existing scheduling gates in any order.
C) Replacing the entire schedulingGates list with a new list.
D) Changing the Pod's container image without removing scheduling gates.",B) Removing existing scheduling gates in any order.,"The correct answer is B) Removing existing scheduling gates in any order. Once a Pod is created with schedulingGates, you cannot add new gates (ruling out A) or replace the entire list (ruling out C), but you can remove gates individually or entirely. Option D is unrelated to schedulingGates behavior and is allowed but not specifically constrained by schedulingGates."
Which kubectl command would you use to verify the schedulingGates currently set on a Pod named 'test-pod'?,kubectl get pod test-pod -o jsonpath='{.spec.schedulingGates}',This command uses 'kubectl get' to fetch the Pod resource named 'test-pod' and outputs only the schedulingGates field using the jsonpath expression '{.spec.schedulingGates}'. This allows you to see the list of scheduling gates currently applied to the Pod. Using jsonpath filters output for clarity. Other commands without '-o jsonpath' would show the entire Pod manifest or summary.
"You have a Pod created with two schedulingGates defined. How do you mark it ready for scheduling by modifying the schedulingGates field?

A) Add an additional scheduling gate.
B) Remove all scheduling gates.
C) Replace the Pod with a new one using the same name.
D) Patch the Pod to change schedulingGates to null.",B) Remove all scheduling gates.,"The correct answer is B) Remove all scheduling gates. A Pod is considered 'SchedulingGated' and not ready for scheduling while any scheduling gates exist. To mark it ready, you must remove all scheduling gates. Option A is invalid because adding new scheduling gates after creation is disallowed. Option C is unnecessary and disruptive. Option D might work if implemented correctly, but the recommended approach is to remove schedulingGates entirely by applying a manifest without the field."
"When updating a Pod that still has schedulingGates set, which updates to the spec.nodeSelector field are allowed?

A) Removing existing nodeSelector keys.
B) Adding new nodeSelector keys only.
C) Completely replacing nodeSelector with a new set.
D) No changes to nodeSelector are allowed.",B) Adding new nodeSelector keys only.,"The correct answer is B) Adding new nodeSelector keys only. While schedulingGates are set, you can only tighten scheduling directives, which means adding nodeSelector keys but not removing or replacing existing keys. Option A and C would loosen or change scheduling constraints and are disallowed. Option D is incorrect because additions are allowed."
Create a Pod named 'test-pod' with the image 'registry.k8s.io/pause:3.6' and two scheduling gates named 'example.com/foo' and 'example.com/bar'.,"kubectl apply -f - <<EOF
apiVersion: v1
kind: Pod
metadata:
  name: test-pod
spec:
  schedulingGates:
  - name: example.com/foo
  - name: example.com/bar
  containers:
  - name: pause
    image: registry.k8s.io/pause:3.6
EOF","This command uses 'kubectl apply -f -' to create a Pod from inline YAML manifest. The manifest defines the Pod named 'test-pod' with two scheduling gates under spec.schedulingGates. The container uses the specified pause image. This sets the Pod in a SchedulingGated state, preventing scheduling until gates are removed. Using inline YAML with 'kubectl apply' is convenient for quick resource creation without separate files."
"What does the 'maxSkew' field specify in a Pod's topologySpreadConstraints?

A) The maximum number of pods allowed per node
B) The maximum permitted difference in the number of matching pods between topology domains
C) The minimum number of eligible topology domains
D) The key of the node label used for topology domains",B) The maximum permitted difference in the number of matching pods between topology domains,"The correct answer is B) The maximum permitted difference in the number of matching pods between topology domains. 'maxSkew' defines how uneven the distribution of pods can be across the specified topology domains. Option A) is incorrect because 'maxSkew' does not limit pods per node directly. Option C) describes 'minDomains', not 'maxSkew'. Option D) refers to 'topologyKey', not 'maxSkew'."
"Which 'whenUnsatisfiable' policy in topologySpreadConstraints prevents the scheduler from placing a Pod if the spread constraint cannot be met?

A) ScheduleAnyway
B) Ignore
C) DoNotSchedule
D) ForceSchedule",C) DoNotSchedule,"The correct answer is C) DoNotSchedule. This policy instructs the scheduler not to schedule the Pod if the spread constraint cannot be satisfied. Option A) ScheduleAnyway allows scheduling even if constraints are not met, just with lower priority. Option B) Ignore is not a valid value for 'whenUnsatisfiable'. Option D) ForceSchedule is not a valid Kubernetes scheduling policy."
"In the context of Pod topology spread constraints, what is the role of the 'topologyKey' field?

A) It lists all topology domains in the cluster
B) It specifies the node label key that defines topology domains
C) It selects Pods by label to spread across nodes
D) It defines the maximum skew allowed between Pods",B) It specifies the node label key that defines topology domains,"The correct answer is B) It specifies the node label key that defines topology domains. 'topologyKey' is used to group nodes into topology domains based on node labels. Option A) is incorrect because it does not list domains, it only specifies the label key. Option C) describes the purpose of 'labelSelector', not 'topologyKey'. Option D) refers to 'maxSkew', not 'topologyKey'."
"Which of the following statements about the 'minDomains' field in topologySpreadConstraints is TRUE?

A) It is required and must be set for every topology spread constraint
B) It can only be used with whenUnsatisfiable: ScheduleAnyway
C) It specifies the minimum number of eligible topology domains required to enforce the constraint
D) It is ignored if the number of eligible domains is less than the specified value",C) It specifies the minimum number of eligible topology domains required to enforce the constraint,"The correct answer is C) It specifies the minimum number of eligible topology domains required to enforce the constraint. 'minDomains' is optional and only valid with whenUnsatisfiable: DoNotSchedule. Option A) is false because it is optional. Option B) is incorrect because it can only be used with DoNotSchedule, not ScheduleAnyway. Option D) is incorrect because if eligible domains are fewer than minDomains, the global minimum is treated as zero, affecting skew calculation."
"Create a Pod named 'example-pod' with a topologySpreadConstraint that spreads pods evenly across nodes labeled with 'kubernetes.io/hostname', allows a maximum skew of 1, uses 'DoNotSchedule' when unsatisfiable, and selects pods with the label 'app=foo'.","kubectl run example-pod --image=nginx --dry-run=client -o yaml > pod.yaml && 
  sed -i '/spec:/a\  topologySpreadConstraints:\n  - maxSkew: 1\n    topologyKey: kubernetes.io/hostname\n    whenUnsatisfiable: DoNotSchedule\n    labelSelector:\n      matchLabels:\n        app: foo' pod.yaml && 
kubectl apply -f pod.yaml","This sequence creates a Pod manifest using 'kubectl run' with the nginx image, outputting YAML for editing. The 'sed' command inserts the specified topologySpreadConstraints under the spec field, setting maxSkew to 1, topologyKey to 'kubernetes.io/hostname', whenUnsatisfiable to 'DoNotSchedule', and selecting pods with label 'app=foo'. Finally, 'kubectl apply' creates the Pod from the modified YAML. Using a YAML manifest is recommended for complex specs like topologySpreadConstraints since 'kubectl run' has limited direct options for these fields."
"How does setting 'nodeAffinityPolicy' to 'Ignore' affect the calculation of pod topology spread skew?

A) It excludes nodes that don't match node affinity from the calculation
B) It includes all nodes, ignoring node affinity constraints
C) It forces the scheduler to respect node affinity strictly
D) It disables topology spread constraints entirely","B) It includes all nodes, ignoring node affinity constraints","The correct answer is B) It includes all nodes, ignoring node affinity constraints. Setting 'nodeAffinityPolicy' to 'Ignore' causes the scheduler to consider all nodes regardless of their node affinity or nodeSelector when calculating pod distribution skew. Option A) is the behavior of 'Honor', not 'Ignore'. Option C) is incorrect as it describes 'Honor'. Option D) is incorrect because topology spread constraints remain active; only node affinity consideration is altered."
"What effect does the taint 'key1=value1:NoSchedule' have on node scheduling?

A) It prevents all pods from running on the node regardless of tolerations.
B) It prevents pods without a matching toleration from being scheduled on the node.
C) It immediately evicts all pods running on the node.
D) It softly prefers pods without a matching toleration to avoid the node but does not prevent scheduling.",B) It prevents pods without a matching toleration from being scheduled on the node.,"The correct answer is B. A taint with the effect 'NoSchedule' means pods that do not have a matching toleration will not be scheduled onto the node. Option A is incorrect because pods with matching tolerations can still schedule. Option C is wrong as 'NoSchedule' does not evict existing pods; eviction is related to 'NoExecute'. Option D describes the effect 'PreferNoSchedule', not 'NoSchedule'."
"Which of the following tolerations would correctly allow a pod to tolerate a taint with key 'key1', value 'value1', and effect 'NoSchedule'?

A) key: ""key1"", operator: ""Exists"", effect: ""NoSchedule""
B) key: ""key1"", operator: ""Equal"", value: ""differentValue"", effect: ""NoSchedule""
C) key: ""key2"", operator: ""Equal"", value: ""value1"", effect: ""NoSchedule""
D) key: ""key1"", operator: ""Equal"", value: ""value1"", effect: ""NoExecute""","A) key: ""key1"", operator: ""Exists"", effect: ""NoSchedule""","Option A is correct because the operator 'Exists' allows the toleration to match any value for the key 'key1' with the specified effect 'NoSchedule'. Option B is incorrect because the value does not match the taint's value. Option C is incorrect because the key does not match the taint's key. Option D is incorrect because the effect does not match; the taint effect is 'NoSchedule', but the toleration effect is 'NoExecute'."
"What happens to a pod that is manually assigned to a node with a 'NoSchedule' taint by setting .spec.nodeName, but the pod lacks the matching toleration?

A) The pod will not be scheduled onto the node.
B) The pod will be scheduled and immediately evicted.
C) The pod will be bound to the node but will not be evicted.
D) The pod will be scheduled and evicted after a delay if 'tolerationSeconds' is not specified.",C) The pod will be bound to the node but will not be evicted.,"When a pod's .spec.nodeName is set manually, scheduling is bypassed, so the pod is bound to the node regardless of taints. A 'NoSchedule' taint does not cause eviction; it only prevents scheduling. Therefore, option C is correct. Option A is wrong because manual binding bypasses the scheduler. Option B is incorrect as 'NoSchedule' taints do not cause eviction. Option D is incorrect because eviction after a delay applies only to 'NoExecute' taints with tolerationSeconds."
"Which taint effect causes pods that do not tolerate the taint to be immediately evicted from the node?

A) PreferNoSchedule
B) NoSchedule
C) NoExecute
D) EvictNow",C) NoExecute,The correct answer is C. The 'NoExecute' taint effect causes pods that do not tolerate the taint to be immediately evicted from the node and prevents new pods without tolerations from scheduling. Option A is incorrect since 'PreferNoSchedule' is a soft preference and does not cause eviction. Option B only prevents scheduling but does not evict existing pods. Option D is invalid as 'EvictNow' is not a recognized taint effect.
"Create a taint on the node named 'worker-node1' with key 'special', value 'true', and effect 'PreferNoSchedule'.",kubectl taint nodes worker-node1 special=true:PreferNoSchedule,"This command adds a taint to the node 'worker-node1' with key 'special', value 'true', and effect 'PreferNoSchedule'. The 'kubectl taint nodes' command is used to add taints. The syntax 'key=value:effect' specifies the taint's key, value, and effect. The effect 'PreferNoSchedule' indicates that the scheduler will try to avoid placing pods that do not tolerate this taint on this node, but it is not guaranteed."
"Add a toleration to a pod specification that allows the pod to tolerate any taint with key 'example-key' and effect 'NoSchedule', regardless of the taint's value.","tolerations:
- key: ""example-key""
  operator: ""Exists""
  effect: ""NoSchedule""","This pod toleration matches any taint with key 'example-key' and effect 'NoSchedule', ignoring the taint's value. The operator 'Exists' means the toleration matches any value for that key. Specifying the effect ensures it only matches taints with 'NoSchedule' effect. This allows pods to tolerate all taints of that key and effect combination."
"Which scheduling framework extension point in Kubernetes is responsible for filtering out nodes that cannot run a Pod?

A) PreFilter
B) Filter
C) PostFilter
D) Reserve",B) Filter,"The correct answer is B) Filter. Filter plugins are invoked during the scheduling cycle to evaluate each node and exclude those that cannot run the Pod based on defined criteria. Option A) PreFilter is incorrect as it is used for pre-processing or checking conditions before filtering. Option C) PostFilter is incorrect because it only runs if no feasible nodes are found after filtering and typically helps with preemption. Option D) Reserve is incorrect as it is used to reserve resources on a node before binding, not for filtering nodes."
"During which phase of the Kubernetes scheduling framework are resources on a node reserved for a Pod to avoid race conditions before binding?

A) Permit
B) Reserve
C) PreFilter
D) PostFilter",B) Reserve,"The correct answer is B) Reserve. The Reserve phase occurs after filtering and scoring, where plugins reserve resources on a node to prevent race conditions before the Pod is actually bound. Option A) Permit is incorrect because it controls approval or delays for binding but does not reserve resources. Option C) PreFilter is incorrect since it is used before filtering nodes. Option D) PostFilter is incorrect as it runs after filtering when no nodes are feasible, usually for preemption."
"Which plugin interface in the Kubernetes scheduling framework allows delaying or denying the binding of a Pod to a node after scheduling decisions?

A) Permit
B) Reserve
C) PreEnqueue
D) EnqueueExtension",A) Permit,"The correct answer is A) Permit. Permit plugins are invoked at the end of the scheduling cycle and can approve, deny, or delay binding of a Pod to a node. Option B) Reserve is incorrect as it reserves resources but does not control binding approval. Option C) PreEnqueue is incorrect because it runs before a Pod is added to the active queue, not after scheduling decisions. Option D) EnqueueExtension controls retries for scheduling rejected Pods, not binding delays."
"In the Kubernetes scheduling framework, what is the purpose of the NormalizeScore extension point?

A) To filter out nodes that cannot run the Pod
B) To modify and normalize node scores from Score plugins before final ranking
C) To reserve node resources before binding
D) To sort Pods in the scheduling queue",B) To modify and normalize node scores from Score plugins before final ranking,The correct answer is B) To modify and normalize node scores from Score plugins before final ranking. NormalizeScore plugins adjust raw scores to a consistent scale so that the scheduler can fairly combine scores from multiple plugins. Option A) is incorrect because filtering is done by Filter plugins. Option C) is incorrect as reserving resources is done in the Reserve phase. Option D) is incorrect since sorting Pods in the scheduling queue is done by QueueSort plugins.
Create a Pod manifest file named 'test-pod.yaml' that uses the 'nginx' image and includes a scheduling annotation to enable the 'StorageCapacityScoring' feature gate during scheduling.,"kubectl create pod test-pod --image=nginx --dry-run=client -o yaml > test-pod.yaml
# Then manually add the annotation to the yaml under metadata.annotations:
# scheduling.kubernetes.io/storage-capacity-scoring: 'true'","The command 'kubectl create pod test-pod --image=nginx --dry-run=client -o yaml > test-pod.yaml' generates a Pod manifest file without applying it to the cluster. Since the StorageCapacityScoring feature is enabled via a feature gate and can be influenced via annotations for scheduling behavior, you add the annotation 'scheduling.kubernetes.io/storage-capacity-scoring: ""true""' manually to the pod manifest under metadata.annotations. This annotation signals the scheduler to apply storage capacity scoring logic when scheduling this Pod. There is no direct kubectl flag to enable feature gates or scheduling plugin behavior on a per-Pod basis."
"What is the role of the QueueingHint plugin interface in the Kubernetes scheduling framework?

A) It controls whether Pods rejected by a plugin should be retried based on cluster changes
B) It determines the order in which Pods are sorted in the scheduling queue
C) It triggers evaluation on cluster events to decide if unschedulable Pods should be requeued
D) It filters nodes that cannot run the Pod",C) It triggers evaluation on cluster events to decide if unschedulable Pods should be requeued,"The correct answer is C) It triggers evaluation on cluster events to decide if unschedulable Pods should be requeued. QueueingHint is a beta feature that, when enabled, allows the scheduler to requeue Pods from backoff or active queues based on certain cluster events that might make them schedulable. Option A) is incorrect because controlling retries of rejected Pods is handled by EnqueueExtension. Option B) is incorrect since sorting Pods in the queue is the responsibility of QueueSort plugins. Option D) is incorrect as filtering nodes is done by Filter plugins."
"Which Kubernetes API resource is responsible for describing a request for access to attached devices in Dynamic Resource Allocation (DRA)?

A) DeviceClass
B) ResourceSlice
C) ResourceClaim
D) ResourceClaimTemplate",C) ResourceClaim,"The correct answer is C) ResourceClaim. ResourceClaims are API objects that describe requests for access to attached resources, such as devices, in the cluster and provide Pods with access to those specific resources. Option A) DeviceClass defines categories of devices that can be claimed but does not itself describe the request. Option B) ResourceSlice represents one or more resources attached to nodes and is managed by device drivers, not used for requesting resources. Option D) ResourceClaimTemplate defines a template for creating per-Pod ResourceClaims, but it is not itself a request."
"In Dynamic Resource Allocation (DRA), what is the role of a DeviceClass?

A) To provide nodes with information about attached devices
B) To define device drivers that manage hardware
C) To categorize devices and define how to select them for claims
D) To generate ResourceClaims automatically for Pods",C) To categorize devices and define how to select them for claims,"The correct answer is C) To categorize devices and define how to select them for claims. DeviceClass objects allow cluster admins or device drivers to define categories of devices in the cluster and specify selection criteria, often using CEL expressions, for claims. Option A) describes ResourceSlices, which provide node and resource information. Option B) is incorrect because DeviceClass does not define drivers; drivers manage ResourceSlices. Option D) relates to ResourceClaimTemplates, not DeviceClass."
"Which type of Dynamic Resource Allocation user is responsible for attaching devices to nodes and installing DRA-compatible drivers?

A) Device owner
B) Workload operator
C) Cluster admin
D) Scheduler",C) Cluster admin,"The correct answer is C) Cluster admin. Cluster admins are responsible for configuring the cluster, attaching devices to nodes, and installing device drivers that support DRA. Option A) Device owners are responsible for devices and creating ResourceSlices or DeviceClasses, but not necessarily the physical attachment. Option B) Workload operators deploy workloads and create ResourceClaims but do not manage hardware or drivers. Option D) Scheduler places Pods but does not manage hardware or drivers."
"Which of the following benefits is NOT provided by Kubernetes Dynamic Resource Allocation compared to traditional device plugins?

A) Device sharing between multiple Pods or containers
B) Fine-grained device filtering using Common Expression Language (CEL)
C) Requirement to specify device quantities per container
D) Centralized device categorization via DeviceClasses",C) Requirement to specify device quantities per container,"The correct answer is C) Requirement to specify device quantities per container. This is NOT a benefit of DRA; in fact, DRA simplifies Pod resource requests by removing the need to specify device quantities per container. Option A) is a benefit because DRA supports device sharing. Option B) is correct as DRA supports fine-grained filtering with CEL. Option D) is also a benefit because DeviceClasses provide centralized device categorization, which traditional device plugins lack."
Create a ResourceClaim named 'gpu-claim' in the 'ml' namespace that references the DeviceClass 'high-performance-gpu'.,kubectl create resourceclaim gpu-claim --namespace=ml --device-class=high-performance-gpu,"This command creates a ResourceClaim named 'gpu-claim' in the 'ml' namespace that references the DeviceClass 'high-performance-gpu'. The '--namespace=ml' flag specifies the namespace where the ResourceClaim will be created. The '--device-class=high-performance-gpu' flag links the claim to the specified DeviceClass, allowing the pod that references this claim to get access to devices categorized under that DeviceClass. Note that 'kubectl create resourceclaim' requires the relevant CRDs and API group installed and enabled in the cluster."
Deploy a Pod named 'app-pod' in the default namespace that uses an existing ResourceClaim called 'shared-devices' to access devices.,"kubectl run app-pod --image=nginx --overrides='{""spec"":{""containers"":[{""name"":""nginx"",""image"":""nginx"",""resources"":{""requests"":{""resource.k8s.io/resourceClaims"":""shared-devices""}}}]}}'","This command creates a Pod named 'app-pod' running an nginx container in the default namespace, referencing an existing ResourceClaim named 'shared-devices' in its resource requests. The '--overrides' flag is used to specify the Pod spec JSON patch that adds the resource claim under 'resources.requests' for the container. This ensures the Pod requests the devices linked by the ResourceClaim. It's important that the ResourceClaim 'shared-devices' exists in the same namespace; otherwise, the Pod will fail to schedule."
"What does the kube-scheduler's percentageOfNodesToScore setting control?

A) The percentage of pods that can be scheduled simultaneously
B) The percentage of feasible nodes to score during scheduling
C) The percentage of nodes to be drained during maintenance
D) The percentage of nodes to be removed from the cluster",B) The percentage of feasible nodes to score during scheduling,"The correct answer is B) The percentage of feasible nodes to score during scheduling. The percentageOfNodesToScore setting determines the threshold for how many nodes the scheduler considers for scoring when placing a Pod, expressed as a percentage of all nodes in the cluster. Option A is incorrect because it relates to pods, not nodes. Option C is incorrect because draining nodes is unrelated to scheduling scoring thresholds. Option D is incorrect because node removal is unrelated to the scheduler's scoring process."
"If you want the kube-scheduler to score all nodes in a large cluster, what value should you set for percentageOfNodesToScore?

A) 0
B) 50
C) 100
D) 200",C) 100,"The correct answer is C) 100. Setting percentageOfNodesToScore to 100 instructs the scheduler to consider and score all nodes in the cluster for pod placement. Option A (0) means using the default compiled-in value, not scoring all nodes. Option B (50) means scoring only 50% of nodes. Option D (200) is invalid as values above 100 are treated as 100."
"Why should you generally avoid setting percentageOfNodesToScore below 10%?

A) It causes the scheduler to ignore node affinity rules
B) It may lead to poor pod placement because fewer nodes are scored
C) It will cause the scheduler to crash
D) It disables the scoring phase completely",B) It may lead to poor pod placement because fewer nodes are scored,"The correct answer is B) It may lead to poor pod placement because fewer nodes are scored. When percentageOfNodesToScore is set too low, the scheduler evaluates fewer nodes for scoring, increasing the chance that higher scoring nodes are missed, resulting in suboptimal pod placement. Option A is incorrect because node affinity is unrelated to this setting. Option C is incorrect as it does not cause the scheduler to crash. Option D is incorrect because the scoring phase still occurs but on fewer nodes."
"In a cluster with multiple zones, how does kube-scheduler ensure fairness when checking node feasibility?

A) It checks nodes in a zone sequentially before moving to the next zone
B) It checks nodes randomly without regard to zones
C) It iterates nodes in round-robin fashion across zones
D) It only checks nodes in the zone with the highest resource availability",C) It iterates nodes in round-robin fashion across zones,"The correct answer is C) It iterates nodes in round-robin fashion across zones. This approach ensures nodes from different zones get a fair chance to be considered for pod placement. Option A is incorrect because it does not interleave zones, potentially biasing one zone. Option B is incorrect because the scheduler does consider zones. Option D is incorrect because it does not limit feasibility checks to one zone."
Create a kube-scheduler configuration file snippet to set percentageOfNodesToScore to 50%.,"apiVersion: kubescheduler.config.k8s.io/v1alpha1
kind: KubeSchedulerConfiguration
algorithmSource:
  provider: DefaultProvider
percentageOfNodesToScore: 50","This snippet defines a KubeSchedulerConfiguration resource with the apiVersion and kind set appropriately. The algorithmSource uses the DefaultProvider, which is standard. The key setting percentageOfNodesToScore is set to 50, instructing the scheduler to score 50% of the feasible nodes. This file would typically be saved and used to replace or update the scheduler's config, requiring a scheduler restart to take effect."
"After modifying the kube-scheduler configuration file to change percentageOfNodesToScore, which command verifies that the kube-scheduler is healthy and running in the cluster?",kubectl get pods -n kube-system | grep kube-scheduler,This command lists all pods in the kube-system namespace and filters the output to show only those related to kube-scheduler. It helps confirm that the kube-scheduler pod is running and healthy after configuration changes. The '-n kube-system' flag targets the system namespace where the scheduler runs. The grep filters for kube-scheduler to quickly identify the scheduler pod status.
"Which scoring strategy in Kubernetes kube-scheduler's NodeResourcesFit plugin favors nodes with higher resource allocation for bin packing?

A) LeastAllocated
B) MostAllocated
C) RequestedToCapacityRatio
D) BalancedAllocation",B) MostAllocated,"The correct answer is B) MostAllocated. This strategy scores nodes based on resource utilization, favoring nodes with higher allocation to achieve bin packing. Option A) LeastAllocated is incorrect because it prefers nodes with fewer allocated resources. Option C) RequestedToCapacityRatio is a different scoring strategy that scores nodes based on the ratio of requested to capacity resources, not simply most allocated. Option D) BalancedAllocation is not a valid strategy in the NodeResourcesFit plugin."
"In the RequestedToCapacityRatio scoring strategy, what does the 'shape' field control?

A) The order of resource evaluation
B) The weight of each resource
C) The tuning of the scoring function based on utilization and score values
D) The maximum resource limits per node",C) The tuning of the scoring function based on utilization and score values,"The correct answer is C) The tuning of the scoring function based on utilization and score values. The 'shape' field defines how node scores change with resource utilization (e.g., enabling bin packing by scoring higher for higher utilization). Option A) is incorrect because 'shape' does not control evaluation order. Option B) is incorrect as weights are specified separately in the 'resources' field. Option D) is incorrect because 'shape' does not relate to resource limits."
"Which of the following statements about resource weights in the NodeResourcesFit plugin configuration is TRUE?

A) Weights can be negative to penalize certain resources
B) If weight is omitted, it defaults to 1
C) Weights are only applied to CPU and memory, not extended resources
D) Weights must sum to 100","B) If weight is omitted, it defaults to 1","The correct answer is B) If weight is omitted, it defaults to 1. The weight parameter is optional and defaults to 1 when not specified. Option A) is incorrect because weights cannot be negative. Option C) is incorrect since weights can be assigned to extended resources like 'intel.com/foo'. Option D) is incorrect because weights do not need to sum to any fixed number."
"You want to enable the RequestedToCapacityRatio scoring strategy in kube-scheduler for extended resources 'intel.com/foo' and 'intel.com/bar' with weights 3 each, and tune the scoring function so nodes with 100% utilization get maximum score 10, and 0% utilization gets 0. Which configuration snippet correctly specifies this?","apiVersion: kubescheduler.config.k8s.io/v1
kind: KubeSchedulerConfiguration
profiles:
- pluginConfig:
  - name: NodeResourcesFit
    args:
      scoringStrategy:
        type: RequestedToCapacityRatio
        resources:
        - name: intel.com/foo
          weight: 3
        - name: intel.com/bar
          weight: 3
        requestedToCapacityRatio:
          shape:
          - utilization: 0
            score: 0
          - utilization: 100
            score: 10","This configuration sets the NodeResourcesFit plugin to use the RequestedToCapacityRatio strategy with specified weights for extended resources. The 'shape' defines scoring so that 0% utilization corresponds to score 0 and 100% utilization to score 10, enabling bin packing. Other options like MostAllocated or different shape values would not achieve the desired behavior."
